"No.","Time","Source","Destination","Protocol","Length","Info"
"1","18:43:03.228196504","10.0.0.2","10.0.0.6","TCP","70","32890  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=83 Len=4 TSval=3507953128 TSecr=1756998851"
"2","18:43:03.228220366","10.0.0.6","10.0.0.2","TCP","66","12345  >  32890 [ACK] Seq=1 Ack=5 Win=85 Len=0 TSval=1757001091 TSecr=3507953128"
"3","18:43:03.228242257","10.0.0.2","10.0.0.6","TCP","70","32890  >  12345 [PSH, ACK] Seq=5 Ack=1 Win=83 Len=4 TSval=3507953128 TSecr=1757001091"
"4","18:43:03.228248675","10.0.0.6","10.0.0.2","TCP","66","12345  >  32890 [ACK] Seq=1 Ack=9 Win=85 Len=0 TSval=1757001091 TSecr=3507953128"
"5","18:43:03.228265792","10.0.0.2","10.0.0.6","TCP","67","32890  >  12345 [PSH, ACK] Seq=9 Ack=1 Win=83 Len=1 TSval=3507953128 TSecr=1757001091"
"6","18:43:03.228268696","10.0.0.6","10.0.0.2","TCP","66","12345  >  32890 [ACK] Seq=1 Ack=10 Win=85 Len=0 TSval=1757001091 TSecr=3507953128"
"7","18:43:03.228283219","10.0.0.2","10.0.0.6","TCP","90","32890  >  12345 [PSH, ACK] Seq=10 Ack=1 Win=83 Len=24 TSval=3507953128 TSecr=1757001091"
"8","18:43:03.228285938","10.0.0.6","10.0.0.2","TCP","66","12345  >  32890 [ACK] Seq=1 Ack=34 Win=85 Len=0 TSval=1757001091 TSecr=3507953128"
"9","18:43:03.228440544","10.0.0.6","10.0.0.1","TCP","70","12345  >  53090 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=4 TSval=3246241503 TSecr=1890075335"
"10","18:43:03.228466699","10.0.0.1","10.0.0.6","TCP","66","53090  >  12345 [ACK] Seq=1 Ack=5 Win=83 Len=0 TSval=1890077577 TSecr=3246241503"
"11","18:43:03.228477735","10.0.0.6","10.0.0.1","TCP","70","12345  >  53090 [PSH, ACK] Seq=5 Ack=1 Win=85 Len=4 TSval=3246241503 TSecr=1890077577"
"12","18:43:03.228485630","10.0.0.1","10.0.0.6","TCP","66","53090  >  12345 [ACK] Seq=1 Ack=9 Win=83 Len=0 TSval=1890077577 TSecr=3246241503"
"13","18:43:03.228492168","10.0.0.6","10.0.0.1","TCP","67","12345  >  53090 [PSH, ACK] Seq=9 Ack=1 Win=85 Len=1 TSval=3246241503 TSecr=1890077577"
"14","18:43:03.228498300","10.0.0.1","10.0.0.6","TCP","66","53090  >  12345 [ACK] Seq=1 Ack=10 Win=83 Len=0 TSval=1890077577 TSecr=3246241503"
"15","18:43:03.228503450","10.0.0.6","10.0.0.1","TCP","90","12345  >  53090 [PSH, ACK] Seq=10 Ack=1 Win=85 Len=24 TSval=3246241503 TSecr=1890077577"
"16","18:43:03.228509379","10.0.0.1","10.0.0.6","TCP","66","53090  >  12345 [ACK] Seq=1 Ack=34 Win=83 Len=0 TSval=1890077577 TSecr=3246241503"
"17","18:43:05.433303379","10.0.0.1","10.0.0.6","TCP","70","53090  >  12345 [PSH, ACK] Seq=1 Ack=34 Win=83 Len=4 TSval=1890079782 TSecr=3246241503"
"18","18:43:05.433322020","10.0.0.6","10.0.0.1","TCP","66","12345  >  53090 [ACK] Seq=34 Ack=5 Win=85 Len=0 TSval=3246243708 TSecr=1890079782"
"19","18:43:05.433343246","10.0.0.1","10.0.0.6","TCP","70","53090  >  12345 [PSH, ACK] Seq=5 Ack=34 Win=83 Len=4 TSval=1890079782 TSecr=3246243708"
"20","18:43:05.433347238","10.0.0.6","10.0.0.1","TCP","66","12345  >  53090 [ACK] Seq=34 Ack=9 Win=85 Len=0 TSval=3246243708 TSecr=1890079782"
"21","18:43:05.433358144","10.0.0.1","10.0.0.6","TCP","67","53090  >  12345 [PSH, ACK] Seq=9 Ack=34 Win=83 Len=1 TSval=1890079782 TSecr=3246243708"
