"No.","Time","Source","Destination","Protocol","Length","Info"
"1","14:46:58.155187759","fe80::3c03:74ff:feb8:e498","ff02::2","ICMPv6","70","Router Solicitation from 3e:03:74:b8:e4:98"
"2","14:46:58.411171562","fe80::2cea:cfff:fee0:9950","ff02::2","ICMPv6","70","Router Solicitation from 2e:ea:cf:e0:99:50"
"3","14:46:59.947334004","fe80::c45b:2ff:feba:91ea","ff02::2","ICMPv6","70","Router Solicitation from c6:5b:02:ba:91:ea"
"4","14:47:01.999228329","fe80::30d9:beff:fe11:9d54","ff02::2","ICMPv6","70","Router Solicitation from 32:d9:be:11:9d:54"
"5","14:47:01.999250612","fe80::2d:e7ff:fed3:8742","ff02::2","ICMPv6","70","Router Solicitation from 02:2d:e7:d3:87:42"
"6","14:47:01.999277164","fe80::386f:4dff:febd:45a7","ff02::2","ICMPv6","70","Router Solicitation from 3a:6f:4d:bd:45:a7"
"7","14:47:05.510942300","10.0.0.1","10.0.0.6","TCP","70","43206  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=83 Len=4 TSval=4205189420 TSecr=3085372909"
"8","14:47:05.510973457","10.0.0.1","10.0.0.6","TCP","70","43206  >  12345 [PSH, ACK] Seq=5 Ack=1 Win=83 Len=4 TSval=4205189420 TSecr=3085372909"
"9","14:47:05.510975737","10.0.0.1","10.0.0.6","TCP","67","43206  >  12345 [PSH, ACK] Seq=9 Ack=1 Win=83 Len=1 TSval=4205189420 TSecr=3085372909"
"10","14:47:05.510977510","10.0.0.1","10.0.0.6","TCP","92","43206  >  12345 [PSH, ACK] Seq=10 Ack=1 Win=83 Len=26 TSval=4205189420 TSecr=3085372909"
"11","14:47:05.511195780","10.0.0.6","10.0.0.1","TCP","66","12345  >  43206 [ACK] Seq=1 Ack=5 Win=85 Len=0 TSval=3085384819 TSecr=4205189420"
"12","14:47:05.511203993","10.0.0.6","10.0.0.1","TCP","66","12345  >  43206 [ACK] Seq=1 Ack=9 Win=85 Len=0 TSval=3085384819 TSecr=4205189420"
"13","14:47:05.511208337","10.0.0.6","10.0.0.1","TCP","66","12345  >  43206 [ACK] Seq=1 Ack=36 Win=85 Len=0 TSval=3085384819 TSecr=4205189420"
"14","14:47:05.511736954","10.0.0.6","10.0.0.2","TCP","70","12345  >  51128 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=4 TSval=2581315044 TSecr=4177292791"
"15","14:47:05.511863748","10.0.0.2","10.0.0.6","TCP","66","51128  >  12345 [ACK] Seq=1 Ack=5 Win=83 Len=0 TSval=4177304702 TSecr=2581315044"
